,alpha,xi_w,xi,v,w,alpha_pl,shock,xi_sh,wm
0,0.0046,0.4,0.0,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
1,0.0046,0.4,5.000250012500625e-05,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
2,0.0046,0.4,0.0001000050002500125,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
3,0.0046,0.4,0.00015000750037501875,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
4,0.0046,0.4,0.000200010000500025,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
5,0.0046,0.4,0.00025001250062503126,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
6,0.0046,0.4,0.0003000150007500375,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
7,0.0046,0.4,0.00035001750087504374,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
8,0.0046,0.4,0.00040002000100005,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
9,0.0046,0.4,0.00045002250112505623,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
10,0.0046,0.4,0.0005000250012500625,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
11,0.0046,0.4,0.0005500275013750688,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
12,0.0046,0.4,0.000600030001500075,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
13,0.0046,0.4,0.0006500325016250812,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
14,0.0046,0.4,0.0007000350017500875,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
15,0.0046,0.4,0.0007500375018750937,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
16,0.0046,0.4,0.0008000400020001,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
17,0.0046,0.4,0.0008500425021251062,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
18,0.0046,0.4,0.0009000450022501125,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
19,0.0046,0.4,0.0009500475023751187,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
20,0.0046,0.4,0.001000050002500125,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
21,0.0046,0.4,0.0010500525026251313,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
22,0.0046,0.4,0.0011000550027501375,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
23,0.0046,0.4,0.0011500575028751438,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
24,0.0046,0.4,0.00120006000300015,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
25,0.0046,0.4,0.0012500625031251563,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
26,0.0046,0.4,0.0013000650032501625,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
27,0.0046,0.4,0.0013500675033751687,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
28,0.0046,0.4,0.001400070003500175,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
29,0.0046,0.4,0.0014500725036251812,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
30,0.0046,0.4,0.0015000750037501875,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
31,0.0046,0.4,0.0015500775038751937,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
32,0.0046,0.4,0.0016000800040002,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
33,0.0046,0.4,0.0016500825041252062,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
34,0.0046,0.4,0.0017000850042502124,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
35,0.0046,0.4,0.0017500875043752187,0.0,-0.011429847166709963,0.004512256077478789,0.0,0.5773502691896257,0.98936020377772
