,alpha,xi_w,xi,v,w,alpha_pl,shock,xi_sh,wm
0,0.0046,0.44,0.0,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
1,0.0046,0.44,5.000250012500625e-05,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
2,0.0046,0.44,0.0001000050002500125,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
3,0.0046,0.44,0.00015000750037501875,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
4,0.0046,0.44,0.000200010000500025,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
5,0.0046,0.44,0.00025001250062503126,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
6,0.0046,0.44,0.0003000150007500375,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
7,0.0046,0.44,0.00035001750087504374,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
8,0.0046,0.44,0.00040002000100005,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
9,0.0046,0.44,0.00045002250112505623,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
10,0.0046,0.44,0.0005000250012500625,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
11,0.0046,0.44,0.0005500275013750688,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
12,0.0046,0.44,0.000600030001500075,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
13,0.0046,0.44,0.0006500325016250812,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
14,0.0046,0.44,0.0007000350017500875,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
15,0.0046,0.44,0.0007500375018750937,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
16,0.0046,0.44,0.0008000400020001,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
17,0.0046,0.44,0.0008500425021251062,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
18,0.0046,0.44,0.0009000450022501125,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
19,0.0046,0.44,0.0009500475023751187,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
20,0.0046,0.44,0.001000050002500125,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
21,0.0046,0.44,0.0010500525026251313,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
22,0.0046,0.44,0.0011000550027501375,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
23,0.0046,0.44,0.0011500575028751438,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
24,0.0046,0.44,0.00120006000300015,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
25,0.0046,0.44,0.0012500625031251563,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
26,0.0046,0.44,0.0013000650032501625,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
27,0.0046,0.44,0.0013500675033751687,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
28,0.0046,0.44,0.001400070003500175,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
29,0.0046,0.44,0.0014500725036251812,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
30,0.0046,0.44,0.0015000750037501875,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
31,0.0046,0.44,0.0015500775038751937,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
32,0.0046,0.44,0.0016000800040002,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
33,0.0046,0.44,0.0016500825041252062,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
34,0.0046,0.44,0.0017000850042502124,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
35,0.0046,0.44,0.0017500875043752187,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
36,0.0046,0.44,0.001800090004500225,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
37,0.0046,0.44,0.0018500925046252312,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
38,0.0046,0.44,0.0019000950047502374,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
39,0.0046,0.44,0.0019500975048752436,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
40,0.0046,0.44,0.00200010000500025,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
41,0.0046,0.44,0.002050102505125256,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
42,0.0046,0.44,0.0021001050052502626,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
43,0.0046,0.44,0.0021501075053752686,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
44,0.0046,0.44,0.002200110005500275,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
45,0.0046,0.44,0.002250112505625281,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
46,0.0046,0.44,0.0023001150057502875,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
47,0.0046,0.44,0.0023501175058752936,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
48,0.0046,0.44,0.0024001200060003,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
49,0.0046,0.44,0.002450122506125306,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
50,0.0046,0.44,0.0025001250062503125,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
51,0.0046,0.44,0.0025501275063753185,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
52,0.0046,0.44,0.002600130006500325,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
53,0.0046,0.44,0.002650132506625331,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
54,0.0046,0.44,0.0027001350067503375,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
55,0.0046,0.44,0.0027501375068753435,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
56,0.0046,0.44,0.00280014000700035,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
57,0.0046,0.44,0.002850142507125356,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
58,0.0046,0.44,0.0029001450072503624,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
59,0.0046,0.44,0.0029501475073753685,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
60,0.0046,0.44,0.003000150007500375,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
61,0.0046,0.44,0.003050152507625381,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
62,0.0046,0.44,0.0031001550077503874,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
63,0.0046,0.44,0.0031501575078753934,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
64,0.0046,0.44,0.0032001600080004,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
65,0.0046,0.44,0.0032501625081254064,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
66,0.0046,0.44,0.0033001650082504124,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
67,0.0046,0.44,0.003350167508375419,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
68,0.0046,0.44,0.003400170008500425,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
69,0.0046,0.44,0.0034501725086254313,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
70,0.0046,0.44,0.0035001750087504373,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
71,0.0046,0.44,0.003550177508875444,0.0,-0.01113626328210173,0.004476619531355962,0.0,0.5773502691896257,0.9897516489571977
